fout	goed
1897-03-06	06-03-1897
1897-03-28	28-03-1897
1897-04-21	21-04-1897
1897-04-28	28-04-1897
1897-04-29	29-04-1897
1897-06-16	16-06-1897
1897-07-01	01-07-1897
1897-07-24	24-07-1897
1897-08-03	03-08-1897
1897-09-07	07-09-1897
1897-09-16	16-09-1897
1897-09-24	24-09-1897
1897-09-25	25-09-1897
1897-10-26	26-10-1897
1897-12-22	22-12-1897
1898-01-17	17-01-1898
1898-02-14	14-02-1898
1898-06-06	06-06-1898
1898-08-03	03-08-1898
1898-08-31	31-08-1898
1898-09-13	13-09-1898
1898-09-27	27-09-1898
1898-10-06	06-10-1898
1898-11-25	25-11-1898
1898-11-29	29-11-1898
1898-12-15	15-12-1898
1899-01-12	12-01-1899
1899-01-22	22-01-1899
1899-02-04	04-02-1899
1899-02-25	25-02-1899
1899-03-25	25-03-1899
1899-03-28	28-03-1899
1899-04-01	01-04-1899
1899-06-12	12-06-1899
1899-07-26	26-07-1899
1899-09-23	23-09-1899
1899-10-02	02-10-1899
19-1-1892	19-01-1892
19-2-12	19-02-1912
19-2-1909	19-02-1909
19-4-1893	19-04-1893
19-5-1928	19-05-1928
19-7-1885	19-07-1885
19-7-1907	19-07-1907
19-7-1923	19-07-1923
19-8-1902	19-08-1902
19-9-1890	19-09-1890
1914-02-00	00-02-1914
2-10-1919	02-10-1919
2-11-1880	02-11-1880
2-11-1904	02-11-1904
2-11-1921	02-11-1921
2-12-1910	02-12-1910
2-2-1921	02-02-1921
2-4-1943	02-04-1943
2-5-1910	02-05-1910
2-5-1930	02-05-1930
2-6-1898	02-06-1898
2-7-1908	02-07-1908
20-1-1904	20-01-1904
20-1-1907	20-01-1907
20-2-1901	20-02-1901
20-2-1926	20-02-1926
20-5-1881	20-05-1881
20-6-1909	20-06-1909
20-7-1921	20-07-1921
20-9-1900	20-09-1900
21-1-1896	21-01-1896
21-1-1931	21-01-1931
21-2-1917	21-02-1917
21-3-1891	21-03-1891
21-4-1895	21-04-1895
21-4-1905	21-04-1905
21-4-1932	21-04-1932
21-6-1886	21-06-1886
21-7-1877	21-07-1877
21-8-1892	21-08-1892
21-8-1904	21-08-1904
21-9-1900	21-09-1900
22-2-1915	22-02-1915
22-3-1887	22-03-1887
22-4-1876	22-04-1876
22-4-1927	22-04-1927
22-5-1877	22-05-1877
22-6-1918	22-06-1918
22-7-1916	22-07-1916
22-9-1872	22-09-1872
22-9-1883	22-09-1883
22-9-1901	22-09-1901
23-1-1906	23-01-1906
23-1-1932	23-01-1932
23-2-1941	23-02-1941
23-3-1874	23-03-1874
23-3-1877	23-03-1877
23-3-1920	23-03-1920
23-4-1906	23-04-1906
23-7-1880	23-07-1880
23-7-1889	23-07-1889
23-8-1908	23-08-1908
24-3-1911	24-03-1911
24-4-1878	24-04-1878
24-5-1880	24-05-1880
24-5-1893	24-05-1893
24-5-1895	24-05-1895
24-6-1901	24-06-1901
24-7-1886	24-07-1886
24-8-1897	24-08-1897
25-4-1928	25-04-1928
25-5-1901	25-05-1901
25-5-1936	25-05-1936
25-6-1905	25-06-1905
25-7-1914	25-07-1914
25-8-1895	25-08-1895
25-8-1901	25-08-1901
25-8-1908	25-08-1908
25-8-1913	25-08-1913
25-9-1898	25-09-1898
25-9-1923	25-09-1923
25-9-1930	25-09-1930
2512-1928	25-12-1928
26-1-1901	26-01-1901
26-1-1905	26-01-1905
26-1-1923	26-01-1923
26-3-1897	26-03-1897
26-4-1896	26-04-1896
26-4-1899	26-04-1899
26-5-1887	26-05-1887
26-5-1920	26-05-1920
26-6-1910	26-06-1910
26-7-1865	26-07-1865
26-8-1925	26-08-1925
26-9-1897	26-09-1897
27-0-1910	27-00-1910
27-1-1904	27-01-1904
27-4-1893	27-04-1893
27-4-1896	27-04-1896
27-6-1912	27-06-1912
27-7-1921	27-07-1921
27-9-1903	27-09-1903
28-1-1903	28-01-1903
28-1-1909	28-01-1909
28-3-1882	28-03-1882
28-4-1884	28-04-1884
28-4-1913	28-04-1913
28-5-1926	28-05-1926
28-6-1921	28-06-1921
28-7-1898	28-07-1898
28-8-1864	28-08-1864
28-8-1926	28-08-1926
28-9-1878	28-09-1878
28-9-1901	28-09-1901
29-1-1899	29-01-1899
29-2-1909	29-02-1909
29-5-1910	29-05-1910
29-6-1908	29-06-1908
29-6-1921	29-06-1921
29-6-1938	29-06-1938
3-10-1898	03-10-1898
3-11-1904	03-11-1904
3-11-1909	03-11-1909
3-12-1910	03-12-1910
3-2-1861	03-02-1861
3-4-1910	03-04-1910
3-5-1895	03-05-1895
3-5-1899	03-05-1899
3-5-1903	03-05-1903
30-04--1911	30-04-1911
30-3-1917	30-03-1917
30-4-1905	30-04-1905
30-4-1934	30-04-1934
30-5-1896	30-05-1896
30-5-1897	30-05-1897
30-7-1918	30-07-1918
30-7-1919	30-07-1919
30-7-1942	30-07-1942
30-8-1919	30-08-1919
30-9-1881	30-09-1881
31-1-1890	31-01-1890
31-1-1902	31-01-1902
31-3-1870	31-03-1870
31-5-1890	31-05-1890
31-7-1921	31-07-1921
4-04-1910	04-04-1910
4-1-1902	04-01-1902
4-1-1911	04-01-1911
4-10-1895	04-10-1895
4-11-1902	04-11-1902
4-11-1907	04-11-1907
4-12-1904	04-12-1904
4-12-1929	04-12-1929
4-2-1886	04-02-1886
4-3-1942	04-03-1942
4-5-1908	04-05-1908
4-5-1931	04-05-1931
4-6-1895	04-06-1895
4-6-1907	04-06-1907
4-7-1859	04-07-1859
5-1-1884	05-01-1884
5-1-1885	05-01-1885
5-10-1930	05-10-1930
5-10-1939	05-10-1939
5-11-1878	05-11-1878
5-2-1881	05-02-1881
5-2-1904	05-02-1904
5-2-1914	05-02-1914
5-2-1919	05-02-1919
5-3-1905	05-03-1905
5-4-1918	05-04-1918
5-7-35	05-07-1935
5-9-1939	05-09-1939
6-1-1905	06-01-1905
6-12-1898	06-12-1898
6-2-1881	06-02-1881
6-2-1900	06-02-1900
6-2-1905	06-02-1905
6-3-1890	06-03-1890
6-3-1924	06-03-1924
6-4-1876	06-04-1876
6-4-1886	06-04-1886
6-4-1891	06-04-1891
6-4-1913	06-04-1913
6-5-1911	06-05-1911
6-6-1894	06-06-1894
6-6-1903	06-06-1903
6-6-1916	06-06-1916
6-6-1938	06-06-1938
6-8-1873	06-08-1873
6-8-1888	06-08-1888
7	00-00-0000
7-1-1877	07-01-1877
7-1-1895	07-01-1895
7-10-1866	07-10-1866
7-10-1877	07-10-1877
7-10-1898	07-10-1898
7-12-1901	07-12-1901
7-5-1890	07-05-1890
7-9-1877	07-09-1877
7-9-1881	07-09-1881
8-07-1933	08-07-1933
8-1-1912	08-01-1912
8-1-1916	08-01-1916
8-12-1894	08-12-1894
8-3-1884	08-03-1884
8-4-1893	08-04-1893
8-8-1920	08-08-1920
8-9-1909	08-09-1909
9-1-1876	09-01-1876
9-10-1918	09-10-1918
9-11-1902	09-11-1902
9-12-1918	09-12-1918
9-2-1888	09-02-1888
9-2-1943	09-02-1943
9-3-1897	09-03-1897
9-3-1905	09-03-1905
9-3-1942	09-03-1942
9-4-1913	09-04-1913
9-4-1922	09-04-1922
9-5-1892	09-05-1892
9-5-1893	09-05-1893
9-5-1894	09-05-1894
9-5-1931	09-05-1931
9-7-1875	09-07-1875
9-7-1887	09-07-1887
9-7-1890	09-07-1890
@@-05-1924	00-05-1924
Amsterdam	
Berlijn	
David	
Hollander	
Jong -Koppelman	
Keulen	
Tilburg	
Wulkan	
15-05-1924 ?!	15-05-1934
210-03-1934	21-03-1934
26-04-1907 (?)	26-04-1907
27-09-18893	27-09-1893
30-09-10915	30-09-1915
13-09-1990	13-09-1890
Utrecht	
05-4-1945	05-04-1945
Zuilen	
Bilthoven	
11-6-1944	11-06-1944
8-4-1943	08-04-1943
1-12-1943	01-12-1943
2-3-1944	02-03-1944
Utrecht	
bis	
bis	
21	
Zuilen	
335	
20	
20	

